Text,Created,Likes,Sentiment
$NXTD $MARA $FCEL  pumps up,2021-01-06T17:27:26Z,64,{'basic': 'Bullish'}
@stockandlock1 thinking $FCEL will be 15+ soon,2021-01-06T17:27:12Z,142,{'basic': 'Bullish'}
"$FCEL goes up for no reason , welcome new bag holder",2021-01-06T17:26:51Z,1787,
$FCEL double tip incoming look out below.,2021-01-06T17:26:44Z,515,{'basic': 'Bearish'}
$FCEL this is clearly a $25 stock in couple weeks,2021-01-06T17:26:29Z,214,
$FCEL I didn’t get in here early enough for the big profits but  swing trading this has made me a very happy man. Ty FCELL!!,2021-01-06T17:25:29Z,399,{'basic': 'Bullish'}
$FCEL $15 by 1:15pm,2021-01-06T17:25:12Z,423,
$FCEL nice to $15 we goo,2021-01-06T17:25:11Z,1,{'basic': 'Bullish'}
$FCEL what are the chances this is a multi-day runner?,2021-01-06T17:25:07Z,39,
$FCEL,2021-01-06T17:25:04Z,1132,{'basic': 'Bullish'}
$AMCI anybody know when the vote is? $FCEL  running on green new deal news,2021-01-06T17:24:36Z,254,
$FCEL Break 13.5 wall and we&#39;re going to 14!,2021-01-06T17:24:32Z,6932,
$FCEL wow,2021-01-06T17:24:25Z,7620,
"$HYSR Next generation hydrogen!! 

$PLUG $FCEL $SOL",2021-01-06T17:24:04Z,2482,{'basic': 'Bullish'}
$FCEL let’s go and push this to 14$,2021-01-06T17:23:54Z,9,{'basic': 'Bullish'}
$FCEL I&#39;m out...ill wait for next dip..pigs get rich..hogs get slaughtered..,2021-01-06T17:23:53Z,979,
$FCEL holding at an average of 2.65 🥴🥴 gimme 15$🤑🤑,2021-01-06T17:23:51Z,6,{'basic': 'Bullish'}
"$FCEL we will see 17&#39;s soon, buckle up for EOM",2021-01-06T17:23:42Z,746,
$FCEL https://www.hydrogenfuelnews.com/h2-production/8541885/?fbclid=IwAR06GeWPsRm_IhaQOkM0e9sGn2mrjUodNoJWtFCrWOMD30asO0E-A2ngQ-M,2021-01-06T17:23:02Z,7295,{'basic': 'Bullish'}
$FCEL dont currently have a position here. Thinking about buying in later today. Anyone have any opinions on the near future of this stock?,2021-01-04T08:41:06Z,221,{'basic': 'Bullish'}
$FCEL,2021-01-04T08:39:50Z,1302,{'basic': 'Bullish'}
"$FCEL today it will go to 12~, that&#39;s gonna be it&#39;s highest.",2021-01-04T08:35:13Z,6,
$FCEL,2021-01-04T08:34:29Z,776,
$FCEL 🙏🙏🙏,2021-01-04T08:06:52Z,9,{'basic': 'Bullish'}
"$FCEL 
Flying to the moon🚀🚀",2021-01-04T07:57:44Z,846,
"$FCEL Today  11,779...😆😆😆😆",2021-01-04T07:52:08Z,93,
"$PLUG $FCEL $GEVO https://blog.taxact.com/capital-gains-tax-apply/#:~:text=You%20should%20generally%20pay%20the,year%20for%20the%20fourth%20quarter.",2021-01-04T07:40:35Z,1922,
$FCEL Easily opening above 12 at the bell. Premarket is green and the dip everybody wants in the low 10s happened last week already while consolidating. FOMO and shorts buying out will get this past 14 in no time.,2021-01-04T07:27:21Z,404,
"$FCEL I Germany already 4.55% up😎 
11.73 USD",2021-01-04T07:23:06Z,20063,{'basic': 'Bullish'}
$ADXS $SNDL $OGEN $FCEL fcel is going go hit high！ AdXs is ER this week ! .5 soon!,2021-01-04T07:16:11Z,15586,{'basic': 'Bullish'}
"$FCEL 
Bought @ 2.10 - Partial Profits taken @ 5.60, 10.55 &amp; 13.40 
Stop Profit raised to 7.10 - Target 16.15/85 

Closed above pivot 10.56, a close below could target block support 9.39- 8.28, 7.67 

(Original analysis submitted: Sept. 17, 2020)  ",2021-01-04T07:04:19Z,105,
$FCEL $PLUG $BE $BLDP $AMCI,2021-01-04T06:52:13Z,1731,
$FCEL not exiting till I see 20$,2021-01-04T06:48:51Z,40,{'basic': 'Bullish'}
$FCEL $20 $ADXS $1 $SNDL $2  time to buy adxs !,2021-01-04T06:42:46Z,201,{'basic': 'Bullish'}
